WPY-020;AISIN;20,684;8413308000
KO-004;AISIN;53,745;8708939098
KY-007;AISIN;80,618;8708939098
KY-110;AISIN;79,677;8708939098
KY-011C;AISIN;62,612;8708939098
KY-031;AISIN;109,586;8708939098
KY-062A;AISIN;109,572;8708939098
KY-072;AISIN;135,432;8708939098
KY-057;AISIN;98,238;8708939098
KY-109;AISIN;111,653;8708939098
KY-071A;AISIN;117,056;8708939098
KH-029A;AISIN;105,922;8708939098
KH-064;AISIN;114,918;8708939098
KH-043;AISIN;127,834;8708939098
KZ-033;AISIN;60,004;8708939098
KZ-051A;AISIN;57,395;8708939098
KZ-034A;AISIN;69,199;8708939098
KZ-056;AISIN;120,706;8708939098
KZ-120;AISIN;167,722;8708939098
KZ-118;AISIN;139,837;8708939098
KZ-109R;AISIN;108,417;8708939098
KZ-115;AISIN;126,109;8708939098
KZ-017;AISIN;79,834;8708939098
KM-004;AISIN;56,881;8708939098
KM-012A;AISIN;81,074;8708939098
KM-047C;AISIN;102,8;8708939098
KM-061;AISIN;114,276;8708939098
KM-109;AISIN;343,47;8708939098
KM-076;AISIN;81,559;8708939098
KM-029;AISIN;214,638;8708939098
KM-081;AISIN;94,132;8708939098
KM-091A;AISIN;213,298;8708939098
KN-091;AISIN;66,903;8708939098
KN-004;AISIN;56,354;8708939098
KN-058;AISIN;52,177;8708939098
KN-008;AISIN;57,395;8708939098
KN-120A;AISIN;82,842;8708939098
KN-124A;AISIN;92,507;8708939098
KN-065C;AISIN;60,004;8708939098
KN-175;AISIN;67,203;8708939098
KN-180;AISIN;116,357;8708939098
KN-151;AISIN;228,98;8708939098
KN-174R;AISIN;148,376;8708939098
KN-171R;AISIN;73,033;8708939098
KN-025A;AISIN;53,731;8708939098
KN-216R;AISIN;67,687;8708939098
KN-034;AISIN;67,317;8708939098
KN-178;AISIN;94,232;8708939098
KN-116;AISIN;77,054;8708939098
KN-177;AISIN;83,783;8708939098
KT-229;AISIN;99,136;8708939098
KT-337;AISIN;86,12;8708939098
KT-089B;AISIN;90,911;8708939098
KT-333;AISIN;236,578;8708939098
KT-275;AISIN;91,181;8708939098
KT-261C;AISIN;125,039;8708939098
KT-352A;AISIN;62,954;8708939098
KT-308A;AISIN;126,893;8708939098
KT-307A;AISIN;117,37;8708939098
KT-338R;AISIN;149,674;8708939098
KT-320A;AISIN;176,076;8708939098
KT-291C;AISIN;169,703;8708939098
KT-321;AISIN;228,709;8708939098
KF-006A;AISIN;111,14;8708939098
KF-028A;AISIN;201,109;8708939098
KF-027;AISIN;206,712;8708939098
KS-008B;AISIN;57,395;8708939098
KS-013B;AISIN;68,671;8708939098
CH-830;AISIN;63,282;8708939098
CH-812;AISIN;71,351;8708939098
CH-911;AISIN;47,587;8708939098
CZ-018;AISIN;25,775;8708939098
CZ-019;AISIN;37,593;8708939098
CM-014;AISIN;56,197;8708939098
CM-032;AISIN;66,875;8708939098
CM-912;AISIN;74,844;8708939098
CN-036;AISIN;52,134;8708939098
CN-039;AISIN;47,472;8708939098
CF-406;AISIN;58,749;8708939098
CF-408;AISIN;94,617;8708939098
CF-917;AISIN;93,448;8708939098
CS-023;AISIN;31,962;8708939098
DH-008;AISIN;26,716;8708939098
DH-016;AISIN;26,73;8708939098
DH-009;AISIN;27,685;8708939098
DH-020U;AISIN;33,787;8708939098
DH-015U;AISIN;49,825;8708939098
DZ-006;AISIN;24,107;8708939098
DZ-937;AISIN;75,257;8708939098
DM-042;AISIN;46,603;8708939098
DM-924;AISIN;129,958;8708939098
DM-034U;AISIN;31,149;8708939098
DN-064;AISIN;34,998;8708939098
DN-073;AISIN;22,011;8708939098
DN-025;AISIN;37,051;8708939098
DN-903;AISIN;42,568;8708939098
DN-909;AISIN;38,334;8708939098
DN-035;AISIN;39,817;8708939098
DN-948;AISIN;44,251;8708939098
DT-100V;AISIN;31,05;8708939098
DTX-151;AISIN;119,879;8708939098
DTX-030L;AISIN;39,603;8708939098
DT-124V;AISIN;25,247;8708939098
DT-904;AISIN;31,05;8708939098
DTX-103;AISIN;56,226;8708939098
DT-073;AISIN;72,335;8708939098
DTX-133;AISIN;88,729;8708939098
DTX-174;AISIN;84,837;8708939098
DS-020U;AISIN;30,608;8708939098
DS-025;AISIN;62,142;8708939098
CSCN-002;AISIN;32,646;8482109000
CSCN-004;AISIN;64,748;8482109000
CSCS-001;AISIN;57,957;8482109000
CSCS-002;AISIN;67,068;8482109000
