1;0;Фільтри;1
2;0;Гальмівна система;2
3;0;Елементи підвіски;3
4;0;Гумо-металлеві вироби;4
5;0;Транміссія;5
6;0;Елементи системи охолодження, механізму ГРМ та паси;6
7;0;Двигун;7
8;0;Електрика;8
9;0;Аксессуари, елементи кузову, оптика та інше;9
10;1;Фільтра мастила;1
11;1;Фільтра повітря;2
12;1;Фільтра палива;3
13;1;Фільтра кондиціонера;4
14;1;Фільтра автоматичної коробки передач;5
15;1;Фільтра інші;6
16;2;Колодки гальмівні дискові передні;1
17;2;Колодки гальмівні дискові задні;2
18;2;Диски гальмівні передні;3
19;2;Диски та барабани гальмівні задні;4
20;2;Колодки гальмівні барабанні;5
21;2;Циліндри гальмівні робочі;6
22;2;Циліндри гальмівні головні;7
23;2;Шланги гальмівні;8
24;2;Ремкомплекти гальмівних циліндрів та супортів;R
25;2;Гальмівні супорти;D
26;3;Пружини підвіски;0
27;3;Амортизатори підвіски передні;1
28;3;Амортизатори підвіски задні;2
29;3;Наконечники кермових тяг;3
30;3;Тяги кермового механізму;4
31;3;Кронштейни стабілізатора;5
32;3;Шарові опори важелів;6
33;3;Важелі передньої підвіски;7
34;3;Важелі задньої підвіски;8
35;3;Хрестовини кермової передачі;9
36;3;Цапфа колеса;C
37;3;Елементи гідропідсилювача та кермові рейки;D
38;4;Верхнє кріплення амортизатора, підшипники;1
39;4;Захист амортизатора;2
40;4;Відбійник амортизатора;3
41;4;Подушки двигуна;4
42;4;Захист кермових тяг;5
43;4;Втулки стабілізатора;6
44;4;Сайлентблоки передньої підвіски;7
45;4;Сайлентблоки задньої підвіски;8
46;4;Захист шарніру рівних кутових швидкостей;9
47;5;Комплекти зчеплення;0
48;5;Корзини зчеплення;1
49;5;Диски зчеплення;2
50;5;Вижимні підшипники зчеплення;3
51;5;Шарніри рівних кутових швидкостей зовнішні;4
52;5;Шарніри рівних кутових швидкостей внутрішні;5
53;5;Підшипник передньої ступиці;6
54;5;Підшипник задньої ступиці;7
55;5;Ступиця передня;8
56;5;Ступиця задня;9
57;5;Робочі циліндри зчеплення;H
58;5;Головні циліндри зчеплення;K
59;5;Підшипники і куліси КПШ;C
60;5;Ремкомплекти циліндрів зчеплення;R
61;5;Хрестовини карданного валу;U
62;6;Комплекти ременя з роликами;0
63;6;Ремені ГРМ;1
64;6;Ремені поліклинові;2
65;6;Ремені клинові;3
66;6;Ролики і натягувачі ременя ГРМ;4
67;6;Ролики і натягувачі іншого ременя;5
68;6;Ланцюги;6
69;6;Натягувачі і заспокоювачі ланцюгів;7
70;6;Насоси охолодження двигуна;8
71;6;Термостати;9
72;6;Інші елементи системи охолодження;U
73;6;Шківи та шестерні;A
74;6;Прокладки насосів охолодження;G
75;6;Радіатори охолодження;C
76;7;Комплекти прокладок;0
77;7;Прокладки головки двигуна;1
78;7;Прокладки клапанної кришки та піддону;2
79;7;Прокладки впускного і випускного колектора;3
80;7;Сальники двигуна;4
81;7;Сальники клапанів;5
82;7;Гідрокомпенсатори;6
83;7;Сальники піввісі та трансмісії;7
84;7;Поршні та гільзи двигуна;8
85;7;Кільця поршневі;9
86;7;Вкладиші коренні;A
87;7;Вкладиші шатунні;B
88;7;Болти головки циліндрів;D
89;7;Розподільчі вали, шатуни;C
90;7;Направляючі втулки та коромисла клапанів;G
91;7;Форсунки бензинові;I
92;7;Розприскувачі;N
93;7;Клапани двигуна;V
94;7;Інші прокладки двигуна;E
95;7;Головка БЦ/ Помпа мастила;P
96;8;Свічки запалювання;1
97;8;Провода запалювання;2
98;8;Котушки запалювання;3
99;8;Кришки розподільників запалювання;4
100;8;Свічки накалу та реле;5
101;8;Стартерно-генераторна група;6
102;8;Лямбда зонди;7
103;8;Паливні насоси;8
104;8;Бігунки трамблера;A
105;8;Контактна група трамблера;B
106;8;Модулі електронного запалювання та датчики рівня палива;C
107;8;Датчики тиску масла;D
108;8;Датчики температури ОР;E
109;8;Датчики вентилятора;F
110;8;Датчики положення валу;K
111;8;Датчики холостого ходу;L
112;8;Датчики витрат повітря;M
113;8;Датчики обертів колеса;N
114;8;Датчики заднього ходу та СТОП сигналу;O
115;8;Датчики зносу гальмівних колодок;P
116;9;Склоочисник;1
117;9;Лампочки;2
118;9;Амортизатори кришки багажника та капоту;3
119;9;Троси зчеплення;4
120;9;Троси газу;5
121;9;Троси спідометра;6
122;9;Троси замка капоту та багажника;7
123;9;Троси стоянкового гальма;8
124;9;Елементи кузова і кріплення;B
125;9;Інші елементи склоочисної системи;C
126;9;Розширювальні бачки, вентилятори, інші елементи конструкції;D
127;9;Дзеркала, скло, їх ущільнювачі і кронштейни;M
128;9;Оптика;O
129;9;Автохімія;9
